Sample_ID	DNA_concentration	k__Bacteria	k__Archaea	k__Eukaryota	unclassified	bac_frac	Sample_type	log_copies_per_extraction	Plate	alpha
P05F11	9.55	92.16633520896168	0	0	7.83366	0.8741355432665808	same_day	8.195154951562309	P05	3.033823094120047
P05G11	24.01	81.14440973446216	0	0	18.85559	0.9120867307116765	same_day	9.026213947970485	P05	2.9823524870324776
P05H11	8.73	93.70981505761358	0	0	6.29018	0.9459911041760192	same_day	8.632946151600093	P05	3.0337942462987755
P07A01	129.91	81.90195712556357	0	0	18.09804	0.9637519481570797	next_day	10.002354790224574	P07	3.2706632399036826
P07B01	142.79	72.317676074745	0	0	27.68232	0.9143416284182424	next_day	9.774817366880097	P07	3.0587979434697132
P07C01	1.58	64.03479880889338	0	0	35.9652	0.37229742144913336	next_day	6.522878745280337	P07	0.6532177076929342
P07D01	0.89	92.38362293956168	0	0	7.61638	0.77904034804911515	next_day	6.522878745280337	P07	3.217675098290573
P07E01	0.93	72.54480538842422	0	0.0255955804217119	27.4296	0.8870371065678931	next_day	6.522878745280337	P07	2.376793056879937
P07F01	35.09	88.67663823534899	0	0	11.32336	0.9252513710214828	next_day	9.14020329002424	P07	1.4047801386149317
P07G01	23.47	90.9465007740558	0	0.0066668671881031	9.04683	0.9258849201218676	next_day	9.097375015329698	P07	1.941394134280548
P07H01	7.78	100	0	0	0	0.901112578287724	next_day	8.572673653460214	P07	0.9356602016487848
P07A02	5.31	100	0	0	0	0.9108821002922408	next_day	7.549356104496023	P07	0.2660035971820853
P07B02	97.62	88.90329660105071	0	0	11.0967	0.9124268538648924	next_day	9.706119053399393	P07	2.7264889759007036
P07C02	8.35	91.62404996646164	0	0.2641510113509178	8.1118	0.8982439461841889	next_day	7.9950959861362865	P07	2.045595538366374
P07D02	11.9	87.78881232477237	0	0	12.21119	0.8275024886410016	next_day	8.868264305156178	P07	1.8116183011001403
P07E02	106.29	92.30340428436185	0	0	7.6966	0.9465528584458448	next_day	9.848861730804558	P07	2.66675193132208
P07F02	11.16	96.47320930919734	0	0	3.52679	0.7750532988111736	next_day	7.771859840751903	P07	0.7649137690852196
P07G02	8.21	88.09965023642432	0	0.2656526099470462	11.6347	0.9455532987327931	next_day	8.731774069744267	P07	1.5553286956257804
P07H02	2.02	100	0	0	0	0.8178090076262651	next_day	7.694159158043552	P07	0
P07A03	2.05	100	0	0	0	0.23884193215282823	next_day	6.522878745280337	P07	0
P07B03	153.23	86.08768462366942	0	0	13.91232	0.8985017581306369	next_day	9.817427382245103	P07	2.196214898488338
P07C03	109.24	90.4634361309338	0	0	9.53656	0.9281450200263448	next_day	9.48178684279093	P07	2.460063164998692
P07D03	101.29	100	0	0	0	0.944804031905963	next_day	9.371617837479114	P07	2.0345755043290983
P07E03	16.22	96.26425974866558	0	0	3.73574	0.8707559664573723	next_day	8.7066555753367	P07	1.535725132170143
P07F03	38.89	95.35208780534862	0	0	4.64791	0.8518001309075582	next_day	9.191096523954386	P07	1.2373151175186337
P07G03	186.43	89.00698004844605	0	0	10.99302	0.8927757747692096	next_day	9.787602939000188	P07	2.11204571304587
P07H03	38.69	92.30652338518708	0	0	7.69348	0.8376716794676687	next_day	8.379468263085284	P07	2.511791954472435
P07A04	37.05	91.07633768554408	0	0.001375273465681	8.92229	0.9529267137757084	next_day	9.556860280492543	P07	1.566331742006202
P07B04	107.53	92.5615395978752	0	0	7.43846	0.9463782905107648	next_day	9.599993154091829	P07	2.734441813791041
P07C04	100.89	83.59878839048473	0	0	16.40121	0.9369779950206214	next_day	9.82207728472254	P07	2.5642537430716503
P07D04	169.95	96.35626461106384	0	0	3.64374	0.9392819306734757	next_day	9.923825319354425	P07	3.6009989160060143
P07E04	142.71	91.64257819878988	0	0	8.35742	0.9269567531381298	next_day	9.536285766123209	P07	2.8928769721731284
P07F04	20.21	92.51709556130795	0	0	7.4829	0.8694753412449752	next_day	8.906482711128572	P07	1.463940114556993
P07G04	104.68	88.2638546866187	0	0.008041569748955	11.7281	0.8872396374715527	next_day	9.726209531099492	P07	2.509385370190667
P07H04	24.19	98.1493350225256	0	0	1.85066	0.9278559342620256	next_day	8.482450507671293	P07	2.1144432285106336
P07A05	80.18	97.70115839982398	0	0	2.29884	0.921710585467286	next_day	8.822080181339764	P07	1.8314395389199292
P07B05	34.6	82.46266038551924	0	0	17.53734	0.9290735779173744	next_day	9.000824484083903	P07	2.6673154250133533
P07C05	39.65	96.30017159775475	0	0	3.69983	0.918460579736334	next_day	8.784780885275174	P07	2.1474093601568054
P07D05	85.67	84.87638525705333	0	0	15.12361	0.8887367468767432	next_day	8.893167312590423	P07	2.5729698293907055
P07E05	272.94	94.0221552246928	0	0	5.97784	0.8952731521487511	next_day	10.114127477485193	P07	3.5797038737000895
P07F05	185.77	88.65192110717895	0	0	11.34808	0.9402791559363046	next_day	8.912772022164	P07	3.059013212991989
P07G05	54.81	95.82631472189894	0	0	4.17369	0.9514515680654528	next_day	8.28513356627753	P07	2.102902101119955
P07H05	46.95	86.46352864929968	0	0	13.53647	0.9471322667935476	next_day	9.395572903397175	P07	2.579464242606943
P07A06	135.33	92.45326006269497	0.0028661399122808	0	7.54387	0.9159578038990476	next_day	9.572174529541988	P07	1.813791326055029
P07B06	14.46	94.44564992064944	0	0	5.55435	0.954369615424832	next_day	8.6343714293271	P07	2.3643520196103847
P07C06	48.13	88.73727645438984	0	0	11.26272	0.8673426207175556	next_day	8.859935375455043	P07	3.1295531594048756
P07D06	106.09	96.37912707572984	0	0	3.62087	0.9604271499275604	next_day	9.57390932764186	P07	3.2861950944752127
P07E06	132.53	92.83923876016658	0	0	7.16076	0.9386550332982728	next_day	9.497616204323974	P07	2.5128025549669837
P07F06	42.57	83.42971162688612	0	0	16.57029	0.947192888152455	next_day	9.434240265377634	P07	2.195944487098943
P07G06	27	89.11324970276438	0	0	10.88675	0.8373823540840947	next_day	8.916093928937364	P07	3.300816752043138
P07H06	3.76	93.51986185741492	0.2447255731938889	0	6.23541	0.8510476565501102	next_day	7.938677691520342	P07	2.460185564433735
P07A07	18.74	99.0592817676105	0	0.0036257024134028	0.93709	0.9022626852868336	next_day	8.50200404922315	P07	2.357482167046408
P07B07	247.61	80.80151557492835	0	0	19.19848	0.9608931537300806	next_day	9.594957860355548	P07	3.078841734291491
P07C07	115.15	88.87533219307379	0.0193434814267713	0	11.10532	0.8952217604223052	next_day	8.92996912951486	P07	3.1955763887255055
P07D07	120.36	90.94515942258334	0	0	9.05484	0.9374025098227968	next_day	9.275260380244566	P07	1.7341141822710266
